away_team_id,away_team_name,away_team_score,home_team_id,home_team_name,home_team_score,match_id,match_period,match_competition,match_round,match_season,match_seasonId,match_skyId,match_status,match_type,match_venue_id,match_venue_location,match_venue_name,_c18,team_name,total_match_score
t25,Middlesbrough,0,t57,Watford,1,7af1fb87-75e5-322a-94f0-8298e87e8e14,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429715,result,Regular,73,Watford,VicarageRoad,"",Middlesbrough,1
t94,Brentford,0,t41,BirminghamCity,1,a73e9fb4-d61e-34f4-9788-a0049ae68980,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429706,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",Brentford,1
t72,RotherhamUnited,1,t112,WycombeWanderers,0,fd69d98c-692e-3e30-a686-04dec22a447f,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429716,result,Regular,3,Wycombe,AdamsPark,"",RotherhamUnited,1
t110,StokeCity,0,t103,Millwall,0,4af84d36-cfed-3ebb-99f3-6d2f8e13a6c9,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429712,result,Regular,101,London,TheDen,"",StokeCity,0
t5,BlackburnRovers,2,t91,Bournemouth,3,bcfb84b7-b264-3136-a415-778769e708fa,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429707,result,Regular,2734,Bournemouth,VitalityStadium,"",BlackburnRovers,5
t17,NottinghamForest,0,t52,QueensParkRangers,2,8c85ae9c-896e-3bc0-a336-ac3c9fe96054,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429714,result,Regular,68,London,KiyanPrinceFoundationStadium,"",NottinghamForest,2
t9,CoventryCity,1,t113,BristolCity,2,2cd27cdc-e4e6-3bcf-8895-112a90f3d1e5,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429708,result,Regular,4,Bristol,AshtonGate,"",CoventryCity,3
t19,SheffieldWednesday,2,t97,CardiffCity,0,5c59cdb4-b377-3aaa-a019-8ec25a2feddb,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429709,result,Regular,5040,Cardiff,CardiffCityStadium,"",SheffieldWednesday,2
t102,LutonTown,1,t37,Barnsley,0,1f14aa09-f9e0-3840-80c8-10e98878ffb9,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429705,result,Regular,53,Barnsley,Oakwell,"",LutonTown,1
t80,SwanseaCity,1,t107,PrestonNorthEnd,0,7790874d-0cc2-35db-a68d-c2a2c8eb625d,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429713,result,Regular,105,Preston,Deepdale,"",SwanseaCity,1
t108,Reading,2,t24,DerbyCounty,0,23525cee-d925-3868-924b-fffa697d23e8,FullTime,SkyBetChampionship,1,Season2020/2021,2020,429710,result,Regular,45,Derby,PrideParkStadium,"",Reading,2
